Region ID,State Name,Region Name,Average House 2020
47250,TX,Pueblo,"$211,009.08 "
398300,CO,Lansing,"$100,507.18 "
21114,TX,Visalia,"$269,333.03 "
51297,CA,Cary,"$417,028.53 "
40779,NC,Schenectady,"$206,277.08 "
7221,NY,Springfield,"$189,686.15 "
32060,MA,Hollywood,"$288,996.39 "
54626,FL,Sunnyvale,"$1,489,427.63 "
39191,CA,Kansas City,"$119,486.76 "
20008,FL,Pomona,"$468,648.35 "
20555,CA,South Bend,"$111,439.90 "
5201,TX,Homestead,"$256,517.99 "
10918,FL,Columbia,"$199,311.41 "
13480,NY,Renton,"$551,103.06 "
35282,WA,Beaumont,"$117,285.50 "
19873,TX,Paterson,"$293,345.41 "
47570,NJ,Santa Maria,"$443,015.34 "
6183,CA,Newark,"$257,160.97 "
54722,CA,Torrance,"$845,058.63 "
5399,CA,Kent,"$466,617.82 "
3619,WA,Bellevue,"$950,670.22 "
12694,WA,Mesquite,"$207,177.14 "
44879,TX,Decatur,"$220,174.30 "
4626,CO,Everett,"$478,037.85 "
39815,WA,Miramar,"$344,995.35 "
33230,FL,Olathe,"$294,081.83 "
24812,OH,Fullerton,"$695,982.03 "
25818,CA,McAllen,"$147,255.42 "
5914,TX,Metairie,"$237,152.36 "
13234,LA,Pearland,"$280,561.88 "
33252,TX,Orange,"$741,386.37 "
397180,CA,Kalamazoo,"$158,740.47 "
24174,CA,Compton,"$455,122.71 "
23394,CA,Abilene,"$136,250.37 "
17321,TX,Carrollton,"$327,864.76 "
44506,TX,Cedar Rapids,"$153,475.96 "
37427,CA,Billings,"$269,868.42 "
7858,CO,West Palm Beach,"$261,276.12 "
4351,FL,Denton,"$268,604.42 "
17571,TX,Coral Springs,"$350,303.11 "
48293,FL,Waco,"$146,173.94 "
47847,TX,Sterling Heights,"$225,794.89 "
6103,CA,Murrieta,"$494,655.13 "
4810,CA,Frederick,"$326,529.43 "
46666,CA,Myrtle Beach,"$198,473.25 "
7386,OH,Temecula,"$540,875.23 "
398007,CA,Flint,"$28,372.50 "
19307,LA,Melbourne,"$256,155.12 "
6155,FL,New Haven,"$193,240.57 "
26900,NC,Saint Augustine,"$289,764.33 "
40760,FL,Santa Fe,"$400,238.62 "
11865,CA,Hemet,"$300,271.16 "
34278,CA,Thousand Oaks,"$780,482.91 "
13713,CA,Santa Clara,"$1,206,256.57 "
31388,CA,Elizabeth,"$313,268.23 "
33024,NJ,Nampa,"$299,328.51 "
50962,CA,Bend,"$475,704.88 "
14667,OR,Wilmington,"$223,379.45 "
23534,IL,Athens,"$196,869.57 "
33136,TX,Norman,"$179,416.63 "
17943,CA,Elgin,"$207,467.97 "
41517,IL,Vista,"$594,120.02 "
5071,CA,Hartford,"$108,751.47 "
41084,MN,Stone Mountain,"$186,119.66 "
37596,CA,Broken Arrow,"$186,515.86 "
12317,WA,Largo,"$220,950.94 "
30840,FL,Charlottesville,"$353,171.68 "
13943,CA,Sparks,"$386,182.06 "
54522,NV,Springfield,"$115,638.39 "
10181,IL,Arvada,"$499,350.73 "
6790,CO,Riverview,"$261,430.30 "
14208,FL,Tuscaloosa,"$157,387.02 "
19172,CA,Manassas,"$419,326.14 "
34781,CA,Westminster,"$434,084.57 "
41802,CO,Yakima,"$260,501.97 "
47379,WA,Richmond,"$279,790.91 "
6172,TX,New Port Richey,"$198,680.93 "
17133,FL,Bowling Green,"$189,884.91 "
17008,FL,Bethlehem,"$225,112.93 "
20071,CA,Provo,"$336,564.43 "
38032,NJ,Costa Mesa,"$857,485.83 "
39420,CA,Lewisville,"$309,180.78 "
3934,TX,Cambridge,"$834,016.93 "
5595,MA,Lehigh Acres,"$156,041.65 "
24967,FL,Gresham,"$372,279.02 "
51861,OR,El Monte,"$538,836.42 "
13554,CA,Rock Hill,"$199,898.28 "
13712,OR,Santa Barbara,"$1,073,668.77 "
54121,CA,Richardson,"$341,252.43 "
7680,TX,Vero Beach,"$240,398.71 "
39767,FL,Miami Gardens,"$274,259.40 "
35593,FL,Laurel,"$349,776.62 "
11140,CA,Douglasville,"$203,013.43 "
5772,FL,Manchester,"$284,746.18 "
50779,CA,Asheville,"$310,639.55 "
6218,NC,North Charleston,"$190,490.66 "
25659,TN,Lowell,"$313,244.76 "
3975,MA,Carlsbad,"$920,272.92 "
44515,CA,Centennial,"$535,301.64 "
46508,CO,Meridian,"$414,960.69 "
11726,CA,Greenville,"$150,949.06 "
11896,NC,High Point,"$149,562.97 "
39966,NC,New Braunfels,"$281,731.52 "
13256,TX,Perris,"$365,924.74 "
18053,CA,Fairfield,"$495,748.31 "
13698,CA,San Leandro,"$703,121.17 "
14542,CA,West Covina,"$603,892.83 "
26575,CA,Pompano Beach,"$234,495.03 "
16780,FL,Antioch,"$512,531.09 "
27228,CA,Springfield,"$551,910.72 "
34671,CA,Waterbury,"$137,977.50 "
31163,TX,Daly City,"$991,859.08 "
18073,CA,Fargo,"$238,893.43 "
19903,CA,Peoria,"$81,436.35 "
13709,IL,Sandy Springs,"$464,711.76 "
31819,TX,Grand Junction,"$285,556.83 "
32629,CO,Madera,"$274,399.44 "
41629,CA,West Chester,"$439,282.55 "
11049,CA,Davie,"$346,742.41 "
45383,FL,Gaithersburg,"$406,803.06 "
3761,CA,Bothell,"$643,315.61 "
4301,WA,Davenport,"$136,292.39 "
39134,NC,Jacksonville,"$160,377.29 "
13699,NC,San Mateo,"$1,332,205.40 "
27942,CA,Wichita Falls,"$110,008.66 "
11695,TX,Greeley,"$335,197.64 "
27219,CO,Spring Hill,"$203,770.54 "
45417,FL,Georgetown,"$339,480.73 "
32615,TX,Lynnwood,"$544,943.92 "
396054,WA,Burbank,"$859,838.44 "
12438,CA,Longview,"$162,504.20 "
45911,TX,Jackson,"$123,888.30 "
33645,CA,Rialto,"$409,528.87 "
395471,CA,Lakewood,"$353,013.08 "
48573,NJ,Woodstock,"$291,425.65 "
32452,CA,Lawrence,"$228,018.34 "
11267,FL,Edison,"$399,309.81 "
37933,NJ,Clinton,"$179,670.99 "
27992,CA,Winter Haven,"$191,980.98 "
10917,FL,Columbia,"$378,543.75 "
23862,CA,Bryan,"$190,406.69 "
16839,TX,Auburn,"$452,465.70 "
16818,WA,Ashburn,"$626,926.26 "
46348,TX,Lynchburg,"$164,125.06 "
52747,OH,Kennewick,"$314,639.69 "
17309,WA,Carmel,"$400,731.97 "
41059,CA,Sterling,"$488,287.83 "
46500,WA,Menifee,"$394,840.79 "
3404,CA,Anderson,"$157,660.82 "
20398,IL,Scranton,"$97,286.24 "
45878,CO,Indio,"$340,653.98 "
53311,CA,Midlothian,"$318,102.42 "
5891,CA,Medford,"$316,610.44 "
47762,OR,South Gate,"$497,647.50 "
53569,CA,Newnan,"$240,030.18 "
44328,CO,Brockton,"$347,964.85 "
53360,MA,Missouri City,"$262,023.60 "
16773,TX,Annapolis,"$438,393.86 "
40737,FL,San Marcos,"$660,968.69 "
26534,CA,Plainfield,"$264,170.98 "
16425,IL,Acworth,"$267,798.19 "
33334,CA,Parker,"$569,850.21 "
26319,CO,Orem,"$357,135.45 "
32471,TX,Leesburg,"$603,128.23 "
53359,TN,Missoula,"$357,991.71 "
54628,WA,Sunrise,"$239,091.28 "
44583,FL,Chino,"$553,664.90 "
20776,CA,Terre Haute,"$101,353.28 "
12886,MA,Muncie,"$85,756.23 "
41715,CA,Williamsburg,"$322,023.84 "
38583,CA,Fort Smith,"$120,222.17 "
10700,FL,Canton,"$288,423.36 "
39558,TN,Lynn,"$398,650.28 "
26964,MA,Santa Monica,"$1,400,029.72 "
24307,CA,Dallas,"$232,115.46 "
397329,CA,Holland,"$230,025.24 "
41109,TX,Suffolk,"$257,308.77 "
51758,FL,Duluth,"$189,164.67 "
32921,MN,Monroe,"$109,452.84 "
53100,LA,Macomb,"$303,268.67 "
17040,FL,Bismarck,"$274,025.56 "
30552,WA,Bowie,"$386,922.12 "
10528,MA,Brandon,"$253,198.77 "
34637,FL,Walnut Creek,"$867,491.63 "
41587,CA,Waukegan,"$142,567.85 "
33031,IL,Nashua,"$335,993.63 "
34308,FL,Tomball,"$260,458.90 "
31525,TX,Fall River,"$274,311.05 "
12864,MA,Mount Pleasant,"$468,335.86 "
16785,FL,Apex,"$397,933.72 "
32563,NC,Longmont,"$457,801.52 "
54944,CO,Victoria,"$157,651.20 "
51534,TX,Conyers,"$197,550.56 "
53148,FL,Manteca,"$460,713.16 "
31612,CA,Fort Mill,"$319,332.98 "
51757,CA,Duluth,"$292,942.46 "
38004,CA,Conway,"$170,705.48 "
4502,IL,Easton,"$225,039.22 "
38529,MN,Fishers,"$311,202.64 "
24339,FL,Decatur,"$60,145.00 "
54529,IL,Stafford,"$406,561.36 "
52179,NJ,Gastonia,"$180,548.91 "
18765,NC,Jonesboro,"$153,411.59 "
54428,WA,Sioux City,"$132,230.68 "
31166,CA,Danbury,"$303,692.99 "
7476,TN,Troy,"$327,683.07 "
46863,CA,Ogden,"$257,759.47 "
6365,CA,Oviedo,"$363,213.68 "
14446,FL,Waldorf,"$331,507.65 "
50742,TX,Apple Valley,"$291,887.01 "
37303,CA,Battle Creek,"$105,218.08 "
41128,MA,Sumter,"$131,804.76 "
44597,CA,Cicero,"$183,771.71 "
25193,IL,Houma,"$157,057.78 "
32999,LA,Mountain View,"$1,576,056.77 "
32311,CA,Kingsport,"$145,423.92 "
7883,TN,Westland,"$143,121.87 "
7101,IL,Slidell,"$173,228.34 "
31093,LA,Cranston,"$288,941.82 "
54759,RI,Turlock,"$365,957.15 "
50764,CA,Arlington Heights,"$307,686.49 "
27491,IL,Tustin,"$720,620.12 "
45243,CA,Farmington Hills,"$277,347.29 "
11087,FL,Denham Springs,"$188,918.28 "
13653,LA,Saint Cloud,"$279,500.86 "
39798,FL,Milpitas,"$1,021,268.97 "
46431,CA,Maryville,"$215,515.60 "
53585,TN,Noblesville,"$261,051.27 "
47837,CA,State College,"$312,049.28 "
7217,WA,Springdale,"$191,568.85 "
26679,MN,Rancho Cordova,"$411,280.72 "
5621,CA,Lexington,"$152,863.40 "
54458,NC,Somerville,"$731,070.85 "
25345,MA,Jupiter,"$433,846.09 "
39483,FL,Lodi,"$393,451.39 "
33889,CA,Schaumburg,"$232,299.46 "
20535,IL,Snellville,"$240,905.77 "
19411,CA,Mission,"$139,551.04 "
18329,TX,Goodyear,"$342,408.16 "
12292,TX,Lakewood,"$629,496.91 "
40868,CA,Shelby,"$278,090.42 "
46179,OH,Lawrence,"$306,612.58 "
25179,MA,Hoover,"$313,267.51 "
45401,CA,Gary,"$42,696.89 "
11462,CA,Folsom,"$610,858.17 "
40689,CA,Saint Charles,"$221,364.00 "
40704,CA,Saint Joseph,"$102,266.15 "
39655,IL,Marysville,"$433,166.32 "
10530,WA,Brandon,"$200,835.30 "
46604,FL,Mooresville,"$306,205.08 "
26561,NC,Plymouth,"$387,291.07 "
13576,MN,Rome,"$130,127.61 "
36296,CA,Suwanee,"$393,969.17 "
40738,TX,San Marcos,"$243,454.78 "
47164,TX,Pleasanton,"$1,137,289.98 "
34884,CA,Winter Park,"$307,636.89 "
40524,FL,Redlands,"$463,617.47 "
44116,CA,Bellflower,"$574,001.00 "
32380,CA,Lake Forest,"$736,272.61 "
52852,CA,Lake Elsinore,"$414,403.80 "
13059,CA,O Fallon,"$258,492.96 "
13444,OR,Rapid City,"$232,374.71 "
54043,NC,Racine,"$125,614.00 "
24733,NC,Flower Mound,"$459,775.63 "
10241,TX,Baldwin Park,"$499,108.23 "
10815,CA,Chino Hills,"$691,092.83 "
26469,CA,Petaluma,"$729,331.35 "
31023,CA,Conway,"$180,810.77 "
37406,FL,Bethesda,"$877,436.74 "
54179,FL,Rochester Hills,"$336,722.46 "
52417,WA,Harlingen,"$110,442.92 "
34868,TX,Winchester,"$267,103.69 "
7484,NY,Tulare,"$237,260.01 "
17155,CA,Brentwood,"$656,845.57 "
3568,CA,Baytown,"$166,601.29 "
57030,TX,Layton,"$354,729.20 "
31751,FL,Glen Allen,"$342,844.59 "
26114,LA,New Rochelle,"$633,633.07 "
46089,NY,La Mesa,"$616,897.79 "
39076,CA,Huntington Park,"$484,201.24 "
12012,CA,Huntington,"$88,066.80 "
17394,TX,Charleston,"$120,911.46 "
10676,NJ,Camden,"$56,808.20 "
19573,NJ,New Britain,"$165,591.86 "
24414,NY,Dothan,"$133,065.50 "
40057,RI,North Little Rock,"$104,034.60 "
21057,FL,Venice,"$296,101.62 "
31635,FL,Framingham,"$470,008.00 "
51659,FL,Davis,"$727,030.30 "
52899,MA,Lauderhill,"$139,850.18 "
53788,CA,Palm Beach Gardens,"$415,173.11 "
10889,FL,Cocoa,"$200,697.30 "
41054,FL,Statesville,"$176,659.05 "
46061,FL,Kokomo,"$112,695.07 "
41333,NC,Union City,"$835,520.82 "
10727,CA,Casa Grande,"$220,512.12 "
6443,FL,Pawtucket,"$242,564.58 "
34940,RI,Yuba City,"$340,783.94 "
22730,CA,Waipahu,"$674,291.97 "
21412,HI,Yorba Linda,"$897,655.64 "
26362,IL,Palatine,"$240,478.72 "
26197,CA,North Richland Hills,"$283,178.79 "
21174,IL,Waterloo,"$102,406.91 "
33714,TX,Rockville,"$519,601.86 "
51752,NY,Dubuque,"$172,014.66 "
8043,NJ,Ypsilanti,"$236,202.69 "
46400,CO,Maple Grove,"$327,915.75 "
31829,FL,Grants Pass,"$305,309.73 "
30691,MN,Caldwell,"$273,131.30 "
33866,OR,Sanford,"$170,729.46 "
18453,NC,Hanford,"$255,453.75 "
54301,NJ,San Rafael,"$994,554.31 "
25704,CA,Madison,"$254,970.88 "
39391,CA,Lebanon,"$173,569.01 "
4216,CA,Corvallis,"$407,929.19 "
16697,MN,Alameda,"$1,000,540.36 "
4032,OR,Centreville,"$483,019.03 "
41271,CA,Traverse City,"$264,444.96 "
14584,MN,Westerville,"$332,551.79 "
20322,FL,Salisbury,"$161,159.57 "
11076,OH,Deland,"$231,784.91 "
7886,FL,Weston,"$476,656.54 "
27177,HI,South Jordan,"$470,538.07 "
22759,FL,Yukon,"$188,702.39 "
39604,MN,Mansfield,"$319,324.05 "
32991,CO,Mount Vernon,"$431,221.45 "
217168,TX,WilkesNaNBarre,"$77,154.32 "
32416,NY,Land O Lakes,"$308,856.12 "
21017,FL,Utica,"$119,723.86 "
26374,NY,Palo Alto,"$2,680,206.26 "
54791,WA,Union City,"$377,105.34 "
40036,CA,Norristown,"$202,002.87 "
16971,NJ,Bellevue,"$211,000.63 "
50749,TN,Arcadia,"$1,022,066.16 "
45251,FL,Fayetteville,"$281,637.91 "
124464,CA,Fountainbleau,"$203,265.56 "
53718,FL,Olympia,"$380,138.45 "
5395,WA,Kenner,"$184,669.34 "
34683,LA,Waukesha,"$258,029.88 "
17845,WA,Eagan,"$325,258.04 "
51173,TN,Brunswick,"$146,481.82 "
25108,MN,Hickory,"$186,791.60 "
28060,NC,Youngstown,"$29,218.97 "
32532,OH,Little Elm,"$320,118.19 "
20665,TX,Stockbridge,"$192,485.03 "
33256,CA,Orland Park,"$276,610.96 "
31580,IL,Florissant,"$135,300.11 "
33498,OH,Port Orange,"$261,103.65 "
48210,FL,Valrico,"$296,663.44 "
39173,CA,Johnstown,"$57,950.73 "
42923,FL,Pottstown,"$206,163.13 "
38272,FL,Easley,"$200,517.49 "
25221,FL,Huntsville,"$180,894.05 "
7837,TX,West Des Moines,"$232,062.36 "
399216,CA,Midland,"$154,490.72 "
25784,NY,Massillon,"$140,931.21 "
10428,CA,Blaine,"$275,367.39 "
7367,OH,Tamarac,"$208,449.37 "
51806,MN,East Orange,"$260,185.75 "
32572,FL,Lorain,"$84,295.21 "
34597,NJ,Vineland,"$168,415.69 "
396053,OH,FlorenceNaNGraham,"$421,596.78 "
45473,NJ,Goldsboro,"$128,128.31 "
5239,CA,Huntersville,"$340,713.31 "
33612,NC,Redondo Beach,"$1,012,737.87 "
7039,NC,Shawnee,"$290,792.23 "
51441,CA,Clayton,"$253,815.74 "
26483,NC,Pico Rivera,"$539,468.51 "
26620,OH,Prescott,"$429,883.82 "
33837,CA,San Gabriel,"$775,811.54 "
14552,CA,West Hartford,"$305,982.39 "
11604,CA,Gilroy,"$803,194.68 "
46749,CA,Niagara Falls,"$103,424.76 "
46084,MN,La Crosse,"$169,309.81 "
45689,NY,Haverhill,"$354,095.23 "
6736,MA,Reston,"$501,256.13 "
53273,OR,Meridian,"$77,768.18 "
3869,CA,Buckeye,"$276,421.83 "
6750,OH,Richmond,"$180,768.32 "
45164,NY,Encinitas,"$1,153,920.47 "
53145,CA,Mansfield,"$85,904.28 "
10940,TX,Coon Rapids,"$249,732.07 "
8814,OH,Queen Creek,"$414,330.25 "
17974,MN,Elyria,"$114,959.09 "
33341,OH,Pasadena,"$336,668.51 "
34644,CA,Waltham,"$597,826.20 "
11170,MA,Dundalk,"$147,418.78 "
25953,NY,Montebello,"$596,831.45 "
50226,CA,Lehi,"$427,523.93 "
26938,NC,Sammamish,"$1,010,228.39 "
14541,WA,West Chester,"$275,338.96 "
27652,OH,Valley Stream,"$520,255.97 "
54592,NV,Stuart,"$256,072.16 "
30993,NY,Columbia,"$227,436.09 "
25495,FL,Lancaster,"$165,681.62 "
45291,TN,Florence,"$148,861.78 "
40038,OH,North Bergen Township,"$404,816.23 "
7378,NJ,Taylor,"$114,299.70 "
10614,MN,Buford,"$311,038.09 "
12597,CO,Martinsburg,"$191,524.57 "
47526,FL,Saint Peters,"$219,552.28 "
17310,FL,Carmichael,"$437,919.35 "
14138,CA,Tigard,"$488,833.27 "
53487,MA,National City,"$474,822.70 "
45565,OR,Greenwich,"$1,294,266.01 "
27378,CA,Taylorsville,"$353,483.10 "
17317,OH,Carrollton,"$174,374.93 "
52587,CA,Howell,"$272,170.75 "
6562,CA,Pontiac,"$75,990.05 "
30829,FL,Chantilly,"$618,618.09 "
45398,CA,Gardena,"$582,612.95 "
24420,CA,Downers Grove,"$320,047.08 "
5710,CA,Loveland,"$286,294.12 "
20782,IL,Texarkana,"$120,749.57 "
17188,OH,Brookline,"$951,655.12 "
6855,TX,Royal Oak,"$248,178.69 "
4151,MA,Coconut Creek,"$211,412.66 "
21472,FL,Annandale,"$576,047.76 "
20514,FL,Skokie,"$283,549.18 "
10264,FL,Bartlett,"$246,820.15 "
19078,IL,Lompoc,"$401,201.91 "
30760,TN,Carlisle,"$221,970.73 "
32697,CA,Maricopa,"$255,675.94 "
26091,WA,New Castle,"$191,967.26 "
53250,NC,Medford,"$618,861.32 "
31861,MA,Greensburg,"$155,511.27 "
